I,S,P
2009,51872,6.656913323579991
2010,41264,5.29555196221863
2011,66028,8.473601806935141
2012,72280,9.275942609275942
2013,46457,5.961987628654296
2014,46228,5.932599265932599
2015,47806,6.135109468442803
2016,51958,6.667950001283335
2017,62298,7.994917994917995
2018,69574,8.928672262005591
2019,48652,6.243679577012911
2020,54011,6.9314185980852665
2100,53383,6.850825184158517
2101,71200,9.137342470675804
2102,45684,5.862785862785863
2103,44209,5.67349400682734
2104,52965,6.797181797181798
2105,49122,6.303996303996307
2106,43731,5.612150612150612
2107,56378,7.235183901850568
2108,29012,3.723210389877056
2109,42299,5.428377095043764
2110,56120,7.202073868740536
2111,40303,5.172223505556838
2112,43806,5.621775621775621
2113,47736,6.126126126126128
2114,44714,5.7383024049690725
2115,34464,4.422884422884423
2116,41906,5.37794204460871
2117,56360,7.232873899540566
2118,38452,4.934678268011603
2119,38701,4.966633299966629
2120,50529,6.484561484561486
2200,45481,5.836734170067505
2201,53159,6.8220784887451575
2202,44711,5.7379174045840715
2203,41053,5.268473601806934
2204,39899,5.120376787043454
2205,42498,5.453915453915457
2206,38297,4.9147865814532485
2207,34826,4.469341136007802
2208,52274,6.708503375170043
2209,44973,5.7715407715407725
2210,36059,4.62757629424296
2211,45809,5.878827545494213
2212,54570,7.003157003157004
2213,58016,7.4453941120607805
2214,39468,5.065065065065063
2215,37847,4.857036523703191
2216,46740,5.998305998306
2217,48981,6.285901285901287
2218,68322,8.767998767998769
2219,66096,8.48232848232848
2220,54138,6.947716947716947
2300,72590,9.315725982392646
2301,59760,7.669207669207666
2302,54599,7.00687867354534
2303,50308,6.456199789533121
2304,57453,7.373142373142373
2305,75320,9.666076332743
2306,48720,6.252406252406253
2307,45880,5.887939221272557
2308,55693,7.147275480608814
2309,53241,6.832601832601835
2310,57050,7.321423988090656
2311,70475,9.04430071096738
2312,47677,6.1185544518877855
2313,45304,5.8140191473524805
2314,48472,6.220579553912886
2315,67253,8.630810297476964
2316,70928,9.102435769102435
2317,42334,5.432868766202099
2318,49323,6.3297913297913295
2319,71718,9.203819203819199
2320,74252,9.529016195682862
2321,73476,9.42942942942943
2400,54547,7.000205333538668
2401,50963,6.5402582069248725
2402,52574,6.74700341367008
2403,62378,8.005184671851339
2404,47712,6.123046123046121
2405,41288,5.298631965298632
2406,42315,5.430430430430431
2407,59936,7.691794358461026
2408,45793,5.876774210107543
2409,40622,5.213161879828546
2410,55660,7.143040476373808
2411,61006,7.829111162444496
2412,51309,6.5846615846615855
2413,32026,4.110007443340779
2414,35380,4.540437873771205
2415,44339,5.690177356844022
2416,47280,6.067606067606068
2417,45689,5.863427530094197
2418,48103,6.173224506557841
2419,42594,5.466235466235467
2420,46661,5.988167654834324
2500,53940,6.922306922306922
2501,61097,7.840789507456173
2502,52809,6.777161777161778
2503,60596,7.776494443161111
2504,40807,5.236903570236904
2505,42542,5.4595621262287946
2506,46642,5.985729319062653
2507,30469,3.910192243525577
2508,45951,5.897050897050897
2509,62651,8.040219706886372
2510,54789,7.03126203126203
2511,44985,5.773080773080772
2512,58863,7.554092554092555
2513,65716,8.433561766895101
2514,24675,3.1666281666281657
2515,27074,3.474500141166808
2516,36150,4.63925463925464
2517,55524,7.125587125587126
2518,76830,9.859859859859855
2519,64316,8.253894920561589
2520,64693,8.30227663560997
2600,62984,8.082954749621415
2601,50001,6.416801416801416
2602,49726,6.381509714843048
2603,46569,5.9763609763609775
2604,53948,6.923333590000257
2605,51264,6.578886578886577
2606,72863,9.350761017427685
2607,45549,5.845460845460844
2608,41398,5.312748646081982
2609,50510,6.4821231487898165
2610,66481,8.531736865070195
2611,55937,7.178588845255512
2612,53331,6.8441518441518445
2613,64226,8.242344909011575
2614,31090,3.989887323220656
2615,41962,5.3851287184620515
2616,58979,7.5689792356459025
2617,79486,10.200713534046868
2618,67351,8.643386976720308
2619,78350,10.054926721593391
2620,56859,7.296912296912298
2700,44433,5.7022407022407045
2701,60537,7.76892276892277
2702,68310,8.766458766458763
2703,41277,5.297220297220298
2704,54157,6.950155283488615
2705,62951,8.078719745386412
2706,41223,5.2902902902902875
2707,54895,7.044865378198713
2708,51584,6.6199532866199515
2709,47970,6.1561561561561575
2710,63543,8.154693154693152
2711,60338,7.7433844100510765
2712,51640,6.6271399604732935
2713,62236,7.986961320294652
2714,55448,7.1158337825004505
2715,64100,8.226174892841557
2716,69937,8.975257308590642
2717,40214,5.160801827468494
2718,43794,5.620235620235621
2719,62625,8.036883036883037
2720,67886,8.712045378712045
2800,46905,6.0194810194810175
2801,53482,6.86353019686353
2802,40116,5.1482251482251495
2803,44172,5.668745668745671
2804,46939,6.0238443571776905
2805,58778,7.543184209850876
2806,62295,7.9945329945329915
2807,51875,6.657298323964991
2808,48954,6.282436282436283
2809,25028,3.2119298785965444
2810,31110,3.9924539924539912
2811,40405,5.1853135186468515
2812,55753,7.154975488308822
2813,63132,8.101948101948103
2814,60876,7.812427812427813
2815,73074,9.377839377839381
2816,41412,5.314545314545314
2817,37209,4.775159775159773
